uuid,story,room_index,n_planes_scored,n_disagree,disagreement_rate,building_n_stories,is_top_story,is_ground_story,is_only_story,exterior_edge_frac,perimeter_m,max_floor_dim_m,floor_area_m2,aspect_ratio
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,9,1,0,0.0,2,True,False,False,0.34,6.43,2.57,2.22,1.57
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,10,2,1,0.5,2,True,False,False,0.0,9.1,2.83,3.38,1.05
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,11,1,0,0.0,2,True,False,False,0.399,30.68,8.92,37.58,1.19
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,12,1,0,0.0,2,True,False,False,0.604,40.96,8.85,30.65,1.21
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,13,4,2,0.5,2,True,False,False,0.407,17.62,6.17,15.86,1.27
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,14,6,4,0.667,2,True,False,False,0.003,38.16,8.66,15.16,1.09
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,15,2,1,0.5,2,True,False,False,0.0,9.96,3.33,6.13,1.09
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,16,3,1,0.333,2,True,False,False,0.59,18.84,6.77,22.65,1.24
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,17,1,0,0.0,2,True,False,False,0.152,34.1,11.16,47.23,1.31
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,18,2,1,0.5,2,True,False,False,0.652,10.71,3.63,4.99,1.28
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,19,1,0,0.0,2,True,False,False,0.488,30.79,8.03,19.17,1.4
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,20,3,1,0.333,2,True,False,False,0.472,18.64,6.94,19.16,1.37
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,0,23,2,0,0.0,2,False,True,False,0.408,18.82,4.68,12.39,1.09
