uuid,total_edges,horizontal_edges,sloped_edges,ridge_or_hip_edges,eave_edges,isolated_horizontal_edges,pipeline_oblique_clusters,pipeline_oblique_surfaces,ridge_minus_clusters
f16973df-10b9-4369-9f0d-dd295a34d970,58,51,7,4,34,13,0,0,4
f40dcc9f-b97b-4bef-8b40-ba011aabf0bd,42,42,0,0,31,11,0,0,0
f46b4d89-ae67-405c-af8b-eb7396b06ef8,130,84,46,25,45,14,2,2,23
f919a443-ea71-4391-9bcb-bff1cf08c45d,50,50,0,0,31,19,0,0,0
f932e0d3-b002-4f89-97e7-ec54d4703506,127,101,26,22,49,30,2,2,20
fb279aa5-092f-4146-83ff-b557415e7ba4,77,55,22,12,31,12,3,3,9
fc46b0be-a3aa-4a28-820c-a16691bcdd61,42,42,0,0,32,10,0,0,0
fd6ee1a7-7243-4c9b-ad7a-5d146b7f8706,52,52,0,0,37,15,0,0,0
fe829d59-c9f1-4194-a40b-39600a4f27b6,140,119,21,22,66,31,2,2,20
feccbd0c-0420-4775-b5b7-49b99559947e,60,50,10,2,39,9,1,0,1
